ID,Process_Title,Process_Platform,Refresh_Schedule,Process_Status,Comments,L0_Process,MSA_Owned,Compliance,FinalTable_DB,Data_Hierarchy_ID,Process_Description,Github_Link,UpdatedDate_Compliance,Modified,Modified By
454,LIVERAMP Weekly,8,Weekly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for LIVERAMP data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
455,LIVERAMP Daily,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for LIVERAMP data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
456,LIVERAMP Monthly,8,Monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for LIVERAMP data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
457,LIVERAMP Yearly,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for LIVERAMP data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
458,Madison Account Engagement ML,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Madison Account Engagement ML data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
459,Marketo,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Marketo data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
460,Mpass Daily,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Mpass data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
461,Mpass Yearly,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Mpass data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
462,Pathfactory,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Pathfactory data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
463,PrivacyAlerts NonMarketo,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for PrivacyAlerts NonMarketo data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
464,Solr APIData,8,Weekly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Solr APIData data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
465,CDPC,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for CDPC data,NA,,1/21/2024 11:13 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
466,Profound Raw Data,14,Quarterly,TRUE,,TRUE,TRUE,Good,9,281,Helps to identify the cloud infrastructure presence at duns level - Raw data,NA,,1/22/2024 3:28 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
467,Profound Data STID Level,3,Quarterly,TRUE,,FALSE,TRUE,Good,9,281,Profound Data identified at the STID level,NA,,1/22/2024 3:29 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
468,Sales Segmentation,8,Yearly,TRUE,,TRUE,FALSE,Good,9,295,Build on Sales Segmentation file received on yearly basis.,https://github.hpe.com/hpe/Customer_Analytics/tree/main/Sales%20Segmentation,,11-09-2023 22:43,"Ali, Mohd Yusuf"
469,STID Segmentation,8,Yearly,TRUE,,FALSE,FALSE,Good,9,295,STID Segmentation build on the table generated from the Sales Segmentation Excel file,https://github.hpe.com/hpe/Customer_Analytics/tree/main/Sales%20Segmentation,,11/20/2023 8:26 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
470,CSDB AA Reporting,8,Daily,TRUE,,TRUE,FALSE,Good,8,240,New CSDB table containing web data,NA,,12-05-2023 10:23,"Chandra, Swarup"
471,Prospect PTB,"4,9,8",Monthly,TRUE,,FALSE,TRUE,Broken,9,287,"The prospect model scores are developed 6 BUs. Compute, HPC, Storage, Aruba, GreenLake and A&PS.",https://github.hpe.com/hpe/Propensity2ProspectModel,02-06-2024,02-06-2024 22:58,"Muthyala, Vishruth (Global Marketing Analytics)"
472,propensity2partyidglptl,"4,5",Monthly,TRUE,GL Potential Model at Party_id label,FALSE,TRUE,Broken,9,286,GL Potential Model at Party_id label,https://github.hpe.com/hpe/propensity2buy/tree/main/propensity2partyidglptl,2/15/2024,2/15/2024 5:06 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
473,propensity2stidnpr,5,Weekly,TRUE,,FALSE,FALSE,Broken,9,283,propensity2stidnpr,https://github.hpe.com/hpe/propensity2npr/tree/production/propensity2stidnpr,2/15/2024,03-05-2024 23:33,"Muduli, Punya Sloka"
474,GL Orders Insight,14,Daily,TRUE,,TRUE,FALSE,Good,19,274,HPE Greenlake Order vs budget/flash through the Quarter or search for Order bookings by customer,NA,,2/13/2024 5:05 AM,"K Nagaraj, Kirubakaran"
475,propensity2partyidptl,"4,5",Monthly,TRUE,Currently we have 21 models for which we are running this process,FALSE,FALSE,Broken,9,283,Potential Model at Party_id label,https://github.hpe.com/hpe/propensity2buy/tree/main/propensity2partyidptl,3/13/2024,3/14/2024 10:53 PM,"MONDAL, ASHIS"
476,ESP list,3,Yearly,TRUE,,TRUE,FALSE,Good,9,267,ESP_list_Feb_24,NA,,3/21/2024 2:18 AM,"Mukherjee, Soumitra"
477,FY24 JBP info for Data Packs Reseller,3,Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY24 JBP info for Data Packs Reseller,NA,,3/21/2024 1:24 AM,"Mukherjee, Soumitra"
478,FY24 JBP info for Data Packs Distri,3,Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY24 JBP info for Data Packs_Distri,NA,,3/21/2024 1:27 AM,"Mukherjee, Soumitra"
479,FY23WWPRSPListRawData,3,Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY23_WW_PRSP_List_Raw_Data,NA,,3/21/2024 2:19 AM,"Mukherjee, Soumitra"
480,FY24 AMS PartnersList,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY24_AMS_PartnersList,NA,,3/21/2024 2:20 AM,"Mukherjee, Soumitra"
481,FY24APJPartnersList,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY24_APJ_PartnersList,NA,,3/21/2024 1:37 AM,"Mukherjee, Soumitra"
482,FY24EMEAPartnersList,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY24_EMEA_PartnersList,NA,,3/21/2024 1:39 AM,"Mukherjee, Soumitra"
483,FY24MKTGDPSPLISTSHIV,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,FY24_MKTG_DP_SP_LIST_SHIV,NA,,3/21/2024 1:42 AM,"Mukherjee, Soumitra"
484,Mega Partner,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,Mega_Patner,NA,,3/21/2024 1:45 AM,"Mukherjee, Soumitra"
485,MPABMasterFY22History,3,Quarterly,TRUE,,TRUE,FALSE,Good,9,267,MPAB_Master_FY22_History,NA,,3/21/2024 1:49 AM,"Mukherjee, Soumitra"
486,Storage Rangers Feb24,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,Storage Rangers Feb24,NA,,3/21/2024 1:55 AM,"Mukherjee, Soumitra"
487,WW HPE Partner Ready Vantage partner list,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,WW_HPE_Partner_Ready_Vantage_partner_list,NA,,3/21/2024 2:12 AM,"Mukherjee, Soumitra"
488,WW PAB 24,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,WW_PAB_24,NA,,3/21/2024 2:15 AM,"Mukherjee, Soumitra"
489,create pipeline data ingestion,3,Weekly,TRUE,,TRUE,FALSE,Good,9,289,dbo.zzzz_IMPA_Pipeline_Create_Data_Final,NA,,3/21/2024 3:56 AM,"Mukherjee, Soumitra"
490,CMPA Location File FY24,3,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,267,CMPA_Location_File_FY24,NA,,3/21/2024 4:29 AM,"Mukherjee, Soumitra"
